user_id,recommendations,recommended_categories,purchased_products,purchased_categories,precision@k
1338,"[7693, 9921, 3455, 9504, 6136]","['Food', 'Kitchen']","[2, 2]",['Kitchen'],0.9
1339,"[6136, 7693, 5369, 7215, 9921]","['Food', 'Home', 'Kitchen']","[119, 132, 133, 136, 7, 24, 170]","['Food', 'Home', 'Kitchen']",0.8
1351,"[6136, 7215, 813, 2277, 4727]","['Food', 'Toys']","[1, 3]","['Food', 'Toys']",1.0
1361,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[1, 2, 1, 1]","['Toys', 'Kitchen']",1.0
1376,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[2, 1]","['Toys', 'Kitchen']",1.0
1377,"[6136, 813, 4372, 7693, 7215]","['Fitness', 'Food', 'Toys', 'Kitchen']","[186, 187, 52, 59, 61, 122, 71]","['Office', 'Kitchen', 'Food', 'Toys', 'Fitness']",0.8
1387,"[6136, 813, 7693, 7215, 9921]","['Food', 'Toys', 'Kitchen']","[3, 1, 2]","['Food', 'Toys', 'Kitchen']",1.0
1390,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[1, 3]","['Food', 'Toys']",1.0
1391,"[6136, 813, 7693, 7215, 9921]","['Food', 'Toys', 'Kitchen']","[2, 1, 3, 1]","['Food', 'Toys', 'Kitchen']",1.0
1413,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
1422,"[6136, 9663, 5369, 7693, 7215]","['Food', 'Home', 'Kitchen', 'Outdoor']","[177, 2, 30, 146, 138, 126, 186, 104, 36]","['Kitchen', 'Automotive', 'Home', 'Food', 'Footwear', 'Outdoor']",0.8
1433,"[6136, 813, 7215, 7693, 2277]","['Food', 'Toys', 'Kitchen']","[3, 1, 2]","['Food', 'Toys', 'Kitchen']",1.0
1435,"[7693, 9921, 3455, 6136, 9504]","['Food', 'Kitchen']",[2],['Kitchen'],0.9
1436,"[813, 7693, 9921, 3455, 4727]","['Toys', 'Kitchen']","[2, 2, 1]","['Toys', 'Kitchen']",1.0
1437,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
1443,"[6136, 7693, 5701, 7215, 3602]","['Food', 'Automotive', 'Footwear', 'Kitchen']","[167, 146, 154, 175, 140, 109, 175, 115, 126, 79]","['Kitchen', 'Pets', 'Automotive', 'Food', 'Footwear']",0.8
1449,"[6136, 7215, 2277, 8138, 9599]",['Food'],"[3, 3]",['Food'],1.0
1450,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
1454,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
1472,"[7693, 9921, 3455, 9504, 3160]","['Kitchen', 'Electronics']",[2],['Kitchen'],0.9
1485,"[6136, 7215, 2277, 8138, 7693]","['Food', 'Kitchen']","[2, 2, 3]","['Food', 'Kitchen']",1.0
1496,"[6136, 7215, 813, 2277, 4727]","['Food', 'Toys']","[3, 1]","['Food', 'Toys']",1.0
1501,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
1513,"[6136, 7693, 7215, 9921, 2277]","['Food', 'Kitchen']","[2, 3]","['Food', 'Kitchen']",1.0
1521,"[6136, 7693, 5369, 7215, 3160]","['Food', 'Home', 'Kitchen', 'Electronics']","[150, 122, 75, 86, 127]","['Food', 'Home', 'Kitchen', 'Electronics']",0.8
1523,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[1, 1, 2]","['Toys', 'Kitchen']",1.0
1529,"[7693, 140, 9921, 3455, 6136]","['Food', 'Kitchen']",[2],['Kitchen'],0.9
1535,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
1552,"[813, 7693, 9921, 3455, 4727]","['Toys', 'Kitchen']","[2, 1, 1]","['Toys', 'Kitchen']",1.0
1554,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[1, 2]","['Toys', 'Kitchen']",1.0
1555,"[7693, 140, 9921, 3455, 9504]",['Kitchen'],[2],['Kitchen'],1.0
1561,"[813, 4727, 4720, 9447, 7432]","['Toys', 'Pets']",[1],['Toys'],0.9
1570,"[6136, 813, 7215, 7693, 2277]","['Food', 'Toys', 'Kitchen']","[2, 1, 2, 3]","['Food', 'Toys', 'Kitchen']",1.0
1574,"[7693, 9921, 3455, 9504, 1794]","['Garden', 'Kitchen']",[2],['Kitchen'],0.9
1580,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
1599,"[6136, 7693, 7215, 9921, 2277]","['Food', 'Kitchen']","[2, 3, 2]","['Food', 'Kitchen']",1.0
1609,"[813, 4727, 4720, 9447, 7693]","['Toys', 'Kitchen']","[1, 1, 1]",['Toys'],0.9
1614,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
1616,"[7693, 9921, 3455, 9504, 6136]","['Food', 'Kitchen']","[2, 2]",['Kitchen'],0.9
1622,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[1, 3, 3, 1]","['Food', 'Toys']",1.0
1630,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[3, 1]","['Food', 'Toys']",1.0
1632,"[6136, 7693, 7215, 9921, 2277]","['Food', 'Kitchen']","[3, 2]","['Food', 'Kitchen']",1.0
1636,"[140, 7693, 9921, 3455, 6136]","['Food', 'Kitchen']",[2],['Kitchen'],0.9
1646,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[2, 1]","['Toys', 'Kitchen']",1.0
1650,"[813, 7693, 9921, 3455, 4727]","['Toys', 'Kitchen']","[1, 2, 1, 1]","['Toys', 'Kitchen']",1.0
1663,"[813, 126, 4727, 4720, 7693]","['Automotive', 'Toys', 'Kitchen']",[1],['Toys'],0.7
1668,"[813, 4727, 4720, 9447, 1794]","['Toys', 'Garden']","[1, 1]",['Toys'],0.9
1674,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[2, 1]","['Toys', 'Kitchen']",1.0
1678,"[6136, 5369, 4375, 7693, 7215]","['Food', 'Home', 'Kitchen', 'Clothing']","[15, 117, 183, 53, 62, 127, 55, 49, 39, 12]","['Pets', 'Kitchen', 'Home', 'Food', 'Clothing']",0.8
1688,"[7693, 9921, 140, 3455, 9504]",['Kitchen'],"[2, 2]",['Kitchen'],1.0
1691,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
1710,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[1, 2, 2]","['Toys', 'Kitchen']",1.0
1715,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
1721,"[6136, 159, 5369, 7215, 3160]","['Food', 'Home', 'Electronics']","[123, 62, 96, 141, 13]","['Food', 'Home', 'Electronics']",0.8
1730,"[6136, 7215, 7693, 2277, 8138]","['Food', 'Kitchen']","[2, 2, 3]","['Food', 'Kitchen']",1.0
1744,"[101, 140, 7693, 9921, 3455]","['Books', 'Kitchen']",[2],['Kitchen'],0.9
1752,"[813, 7693, 9921, 3455, 4727]","['Toys', 'Kitchen']","[2, 2, 1]","['Toys', 'Kitchen']",1.0
1754,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
1763,"[813, 4727, 4720, 9447, 5369]","['Home', 'Toys']",[1],['Toys'],0.9
1768,"[6136, 813, 7693, 7215, 9921]","['Food', 'Toys', 'Kitchen']","[3, 2, 2, 1, 3]","['Food', 'Toys', 'Kitchen']",1.0
1771,"[6136, 159, 3160, 7215, 3602]","['Food', 'Automotive', 'Electronics']","[165, 13, 83, 155, 109, 63, 37]","['Food', 'Automotive', 'Electronics']",0.8
1789,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[2, 1]","['Toys', 'Kitchen']",1.0
1795,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[1, 3, 1, 3, 3]","['Food', 'Toys']",1.0
1800,"[6136, 7693, 9663, 7215, 101]","['Books', 'Food', 'Kitchen', 'Outdoor']","[6, 184, 166, 83, 73, 133, 28, 116, 76, 38]","['Books', 'Food', 'Kitchen', 'Outdoor']",0.8
1804,"[6136, 7215, 7693, 2277, 9921]","['Food', 'Kitchen']","[3, 2]","['Food', 'Kitchen']",1.0
1829,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
1831,"[6136, 7693, 7215, 2277, 9921]","['Food', 'Kitchen']","[3, 2, 2]","['Food', 'Kitchen']",1.0
1834,"[6136, 7215, 813, 2277, 4727]","['Food', 'Toys']","[3, 3, 3, 1]","['Food', 'Toys']",1.0
1838,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
1849,"[813, 4727, 4720, 9447, 7693]","['Toys', 'Kitchen']","[1, 1]",['Toys'],0.9
1851,"[813, 4727, 4720, 9447, 126]","['Automotive', 'Toys']",[1],['Toys'],0.9
1853,"[6136, 7215, 2277, 8138, 3455]","['Food', 'Kitchen']","[2, 3]","['Food', 'Kitchen']",1.0
