uid,pid1,pid2,pid3,pid4,pid5,pid6,pid7,pid8,pid9,pid10
1715,199,74,172,99,62,187,0,0,0,0
1721,123,62,96,141,13,0,0,0,0,0
1730,52,91,178,42,73,89,26,0,0,0
1744,176,166,165,84,63,0,0,0,0,0
1752,55,58,200,53,161,34,187,3,99,158
1754,88,56,84,29,67,0,0,0,0,0
1763,18,171,198,44,99,154,7,85,106,0
1768,116,105,194,197,50,92,177,178,98,105
1771,165,13,83,155,109,63,37,0,0,0
1789,3,161,198,49,56,14,64,126,3,68
1795,88,16,154,72,114,161,182,142,195,23
1800,6,184,166,83,73,133,28,116,76,38
1804,18,187,46,90,146,104,172,177,53,194
1829,102,139,66,106,96,193,0,0,0,0
1831,67,75,10,1,100,11,113,10,105,9
1834,115,122,55,10,48,83,29,0,0,0
1838,42,15,167,103,132,117,133,3,44,189
1849,118,80,93,132,102,129,39,130,0,0
1851,133,82,127,161,189,123,109,46,185,108
1853,194,143,24,30,16,19,0,0,0,0
1856,34,170,145,45,153,107,28,114,113,5
1865,55,129,199,50,162,87,62,0,0,0
1876,65,19,3,49,104,25,85,23,131,41
1878,48,154,105,198,86,154,85,99,190,45
1904,16,112,103,98,184,83,160,0,0,0
1910,62,187,69,73,56,151,118,196,95,82
1921,14,185,149,165,164,139,128,36,175,0
1923,145,152,6,148,94,137,169,69,22,12
1928,192,149,60,70,28,140,198,0,0,0
1934,101,57,129,84,9,131,77,125,156,4
1948,115,10,164,51,12,15,0,0,0,0
1978,69,87,86,178,64,64,105,60,179,50
1987,85,66,121,67,175,35,30,144,188,0
1988,109,144,31,90,85,68,195,163,7,104
2004,139,168,32,123,91,31,117,70,37,30
2018,145,138,99,132,105,159,176,103,32,63
2027,181,12,12,55,10,148,9,153,0,0
2034,57,3,161,40,80,37,51,177,131,24
2045,132,109,183,185,108,20,93,150,101,0
2073,150,55,196,110,113,84,100,189,132,133
2075,45,58,192,106,189,194,25,14,176,19
2089,15,17,123,68,151,148,28,16,20,57
2099,93,138,44,34,124,129,87,67,67,161
2107,54,35,148,167,161,119,112,0,0,0
2109,19,132,57,156,34,69,196,169,99,183
2110,5,68,109,195,143,177,181,76,54,157
2111,173,141,81,62,9,96,70,79,0,0
2115,80,177,1,166,157,178,170,66,111,46
2116,176,104,146,140,114,118,173,73,0,0
2117,74,37,159,163,58,0,0,0,0,0
2143,89,5,94,65,122,75,0,0,0,0
2183,150,46,133,181,47,0,0,0,0,0
2245,18,33,24,59,41,124,29,82,26,79
2275,108,61,147,37,189,154,67,31,5,0
2285,66,61,47,54,128,0,0,0,0,0
2300,13,76,93,158,37,103,45,139,132,154
2321,14,4,89,117,162,151,75,0,0,0
2325,47,194,88,57,124,122,116,0,0,0
2332,35,41,115,94,143,0,0,0,0,0
2362,85,35,133,10,33,0,0,0,0,0
2385,119,2,161,73,41,178,179,0,0,0
2393,110,20,92,64,97,154,0,0,0,0
2420,180,194,32,176,81,199,0,0,0,0
2457,183,13,76,14,130,146,99,61,129,132
2473,1,166,73,68,88,0,0,0,0,0
2494,3,86,154,149,143,0,0,0,0,0
2500,96,182,193,165,8,115,66,183,103,0
2502,80,190,167,40,66,110,132,57,72,161
2513,151,149,116,6,99,184,127,153,0,0
2519,89,188,87,188,137,94,13,160,16,80
2534,177,117,45,47,66,51,107,0,0,0
2535,187,125,177,105,57,160,102,71,137,124
2544,59,148,66,121,173,45,162,37,55,65
2566,67,80,73,47,88,0,0,0,0,0
2593,181,155,120,184,113,89,10,158,137,22
2597,94,48,133,30,109,66,93,126,27,75
2607,62,133,107,154,39,177,163,0,0,0
2608,35,187,115,116,86,30,94,154,67,116
2610,57,188,59,98,17,99,152,0,0,0
2626,100,73,169,193,46,144,77,145,32,117
2638,199,132,54,177,65,98,92,2,73,6
2639,42,126,50,14,195,151,30,68,141,151
2645,25,18,161,30,23,101,131,61,95,0
2656,103,142,81,75,116,43,193,97,185,54
2671,126,4,159,167,67,180,170,43,185,4
2687,33,40,86,167,197,47,68,89,38,10
2699,96,171,129,126,33,91,132,129,22,156
2704,184,81,81,187,93,100,44,9,16,14
2710,3,57,38,74,98,176,174,146,124,69
2714,23,80,94,13,165,152,0,0,0,0
2741,63,125,101,193,86,41,22,150,11,117
2757,168,113,54,44,144,26,134,103,146,22
2779,179,89,12,116,49,164,160,140,193,159
2781,36,108,80,188,159,179,58,51,156,114
2783,97,64,97,99,113,109,139,93,82,88
2792,86,173,113,141,181,10,113,185,50,0
2803,115,194,63,158,45,43,39,122,116,124
2808,7,73,194,194,125,92,180,192,117,39
2821,198,143,69,43,31,175,0,0,0,0
2845,35,22,168,48,63,65,8,0,0,0
2892,127,168,66,180,78,90,195,155,150,0
2896,126,144,129,101,43,171,88,185,0,0
2898,134,156,100,78,189,197,63,48,16,65
2902,135,144,103,169,60,43,182,105,42,32
2906,125,33,182,172,53,0,0,0,0,0
2909,24,105,174,78,155,101,0,0,0,0
2913,199,174,153,68,79,198,77,61,0,0
2937,189,164,169,71,197,83,0,0,0,0
2950,34,77,192,197,178,154,115,61,125,116
2959,87,126,190,81,2,99,161,190,183,69
2964,143,156,121,87,103,111,19,65,139,53
2970,135,82,4,123,1,35,83,0,0,0
2994,187,35,192,71,120,29,78,124,93,152
2996,116,101,120,140,3,152,8,122,140,154
3008,8,182,42,19,123,188,68,156,156,83
3029,166,117,80,27,26,1,151,40,187,31
3031,165,74,148,86,132,56,0,0,0,0
3042,19,170,181,57,110,147,175,50,73,159
3069,146,75,72,112,143,143,117,18,0,0
3074,35,50,146,89,156,106,139,153,182,104
3082,93,192,176,12,189,86,91,28,131,1
3090,81,171,75,129,143,142,147,155,0,0
3116,49,7,154,190,184,83,34,133,99,132
3118,59,161,40,23,141,84,150,71,197,27
3121,155,22,112,87,8,70,156,97,119,118
3143,139,151,174,97,62,67,162,190,0,0
3145,90,112,147,116,170,100,162,33,70,116
3147,116,28,45,79,119,187,44,67,0,0
3178,27,96,123,9,89,25,39,59,95,190
3180,73,2,113,47,145,99,39,104,132,0
3197,166,143,98,22,32,89,137,0,0,0
3210,75,129,189,25,103,143,0,0,0,0
3213,36,171,190,5,63,4,137,69,68,0
3219,124,70,168,160,52,140,15,98,140,91
3243,33,67,107,181,148,143,32,71,15,196
3246,151,82,189,49,107,89,41,170,0,0
3269,94,91,13,133,71,67,52,145,38,2
3274,108,139,95,89,111,170,2,78,70,103
3281,103,167,5,86,16,31,112,5,0,0
3289,196,74,33,16,28,74,197,194,0,0
3290,140,7,62,51,74,88,0,0,0,0
3293,139,86,150,152,180,121,83,85,37,88
3295,28,36,156,194,62,0,0,0,0,0
3302,67,162,56,81,1,94,165,185,27,0
3321,136,176,149,138,4,176,109,40,141,56
3363,57,172,67,76,93,76,133,115,62,58
3381,29,34,12,174,196,169,96,0,0,0
3382,95,135,90,7,71,190,0,0,0,0
3393,129,87,85,55,77,131,70,181,161,43
3420,108,5,103,16,110,7,0,0,0,0
3439,183,25,36,85,149,9,141,90,66,0
3451,99,122,9,184,148,12,80,0,0,0
3474,61,20,187,32,51,177,8,9,6,158
3476,76,28,62,2,28,133,62,19,143,121
3489,126,75,134,182,182,32,150,3,0,0
3493,13,158,159,193,40,177,24,126,23,77
3510,156,12,175,26,55,132,81,0,0,0
3543,116,92,40,146,17,106,72,124,95,14
3567,75,140,138,24,119,32,85,84,0,0
3568,154,21,65,81,135,130,60,1,23,197
3584,35,8,44,137,10,4,158,161,10,95
3601,188,43,104,112,91,109,54,0,0,0
3602,104,191,180,49,148,135,195,12,109,89
3607,27,67,66,180,70,116,0,0,0,0
3609,5,20,163,10,175,0,0,0,0,0
3619,8,161,104,84,107,12,13,199,50,121
3625,26,150,130,107,79,179,113,87,178,91
3631,194,141,72,77,136,133,119,62,181,73
3640,115,135,156,14,39,125,66,155,95,166
3651,173,122,200,74,37,99,36,12,0,0
3665,130,30,21,82,91,8,70,69,50,0
3668,157,6,115,22,59,154,33,135,119,177
3670,134,159,58,78,15,166,19,65,168,181
3686,124,107,116,15,27,169,146,84,139,95
3694,16,44,94,190,154,31,185,140,69,62
3698,150,86,26,182,24,151,171,43,150,157
3700,174,131,136,7,6,156,70,4,0,0
3705,76,51,144,195,17,104,184,66,108,158
3707,175,128,135,133,181,174,0,0,0,0
3726,127,15,41,161,31,155,37,139,118,156
3733,28,153,128,104,130,0,0,0,0,0
3754,44,91,83,191,40,46,97,156,50,66
3755,55,26,89,135,153,51,188,140,148,152
3761,113,121,112,88,117,148,68,118,5,139
3768,14,79,181,100,64,100,28,46,72,36
3769,13,32,194,74,43,34,183,16,0,0
3777,111,37,42,171,63,180,89,0,0,0
3787,175,35,2,189,189,0,0,0,0,0
3794,178,157,31,143,40,143,173,156,0,0
3824,89,46,91,172,154,91,73,7,141,74
3848,120,34,90,81,66,166,0,0,0,0
3854,160,113,98,179,7,143,66,65,147,195
3857,195,48,23,136,176,163,178,75,48,199
3865,143,169,64,117,186,34,0,0,0,0
3901,30,20,95,165,192,133,197,178,140,102
3911,107,162,65,146,86,131,97,138,83,54
3920,109,41,92,196,188,181,12,166,32,0
3922,124,40,101,135,150,94,76,35,162,40
3934,199,14,22,178,45,150,0,0,0,0
3935,45,159,188,31,68,190,129,76,38,102
3940,81,174,47,10,78,177,26,142,0,0
3944,46,26,155,112,119,139,147,72,36,161
3948,8,187,49,22,1,147,179,141,45,50
3955,27,103,44,21,143,54,0,0,0,0
3960,140,74,14,150,65,97,39,164,19,180
3967,129,73,50,155,109,116,173,24,126,17
3971,124,26,153,33,100,110,119,16,61,0
4010,3,69,1,37,193,124,119,0,0,0
4011,137,150,38,38,65,0,0,0,0,0
4012,106,113,191,81,40,0,0,0,0,0
4027,57,142,119,50,97,35,104,184,0,0
4048,150,121,180,121,90,42,142,13,100,0
4052,14,31,121,142,128,159,14,161,155,82
4055,131,193,108,138,90,0,0,0,0,0
4071,198,200,180,94,20,191,197,9,9,176
4078,137,117,35,187,37,95,0,0,0,0
4096,138,77,173,84,54,109,112,105,180,17
4102,194,159,84,72,173,79,164,188,69,153
4103,172,59,187,83,131,131,137,11,142,19
4126,179,114,72,52,155,82,153,145,149,76
4136,61,143,199,150,148,92,161,188,198,58
4140,160,13,135,126,123,145,0,0,0,0
4184,158,187,185,11,4,169,145,196,176,47
4188,102,157,65,70,85,102,111,93,152,127
4208,63,126,61,120,151,87,178,80,61,177
4214,108,63,121,15,62,88,20,150,0,0
4216,60,194,102,105,152,147,65,152,178,7
4217,191,107,90,25,16,170,152,0,0,0
4220,107,61,121,146,54,7,65,108,101,107
4226,70,44,120,34,108,26,0,0,0,0
4232,105,181,32,24,120,69,197,35,27,22
4254,153,62,46,43,66,0,0,0,0,0
4258,183,108,66,19,188,155,88,10,116,15
4259,180,20,75,192,169,122,133,0,0,0
4262,111,101,69,160,55,64,130,0,0,0
4286,80,25,55,186,71,76,77,54,129,132
4315,169,171,16,133,199,85,199,100,151,176
4329,74,130,200,61,4,28,32,129,114,176
4333,70,4,12,56,50,183,79,151,78,195
4358,161,92,24,160,133,193,121,128,123,2
4366,189,81,122,112,140,99,40,32,26,21
4385,10,31,108,177,54,0,0,0,0,0
4413,121,26,185,121,109,136,161,129,114,117
4415,43,132,116,161,3,33,0,0,0,0
4420,162,193,135,105,60,132,37,50,32,145
4443,140,59,55,83,100,70,82,114,126,156
4445,58,193,162,52,183,0,0,0,0,0
4450,168,19,26,79,110,0,0,0,0,0
4455,78,80,116,36,114,155,60,151,96,187
4488,111,160,135,39,130,65,119,28,16,126
4492,115,185,46,4,198,199,0,0,0,0
4528,20,65,28,189,76,83,0,0,0,0
4539,153,37,94,135,120,0,0,0,0,0
4562,65,40,197,69,23,13,177,115,140,0
4579,106,38,90,198,139,105,40,150,58,14
4582,39,8,172,70,86,5,0,0,0,0
4583,99,105,162,99,55,118,176,23,0,0
4589,178,91,82,103,8,175,26,84,30,156
4597,121,127,119,90,57,172,162,140,112,179
4605,148,67,97,129,45,65,137,130,177,144
4628,136,106,172,156,66,83,140,126,54,28
4639,89,12,133,140,98,111,169,186,85,35
4648,107,14,85,122,190,106,0,0,0,0
4651,1,68,80,90,123,129,192,107,105,0
4656,157,69,17,64,189,86,109,122,183,0
4657,180,168,87,144,173,123,87,6,70,13
4677,166,152,120,68,103,110,5,17,0,0
4679,51,181,155,128,14,82,50,33,0,0
4688,126,95,11,67,196,93,172,125,133,91
4696,57,157,118,7,167,29,101,86,61,195
4705,30,168,67,123,60,23,116,85,123,162
4715,23,35,56,108,118,181,58,31,121,51
4723,126,191,103,112,66,180,73,131,95,0
4726,132,148,70,25,19,188,141,158,0,0
4738,80,97,178,23,178,163,0,0,0,0
4755,93,98,28,72,129,30,47,116,61,0
4765,180,155,164,186,117,12,187,165,55,178
4768,179,87,12,168,122,195,65,39,14,172
4828,165,108,190,175,130,38,191,76,66,122
4830,70,71,38,189,174,157,167,179,0,0
4832,27,105,69,35,67,119,49,102,0,0
4881,45,164,73,5,97,158,178,179,80,61
4888,61,21,67,18,150,140,92,190,54,131
4890,119,73,148,39,8,192,70,6,41,83
4917,134,128,3,36,118,183,23,44,43,73
4928,22,127,110,185,193,55,60,143,126,167
4945,178,182,14,42,113,150,49,158,89,28
4978,193,29,184,13,133,0,0,0,0,0
4986,15,87,77,21,100,32,4,53,188,189
4987,124,4,120,46,72,86,110,173,183,144
4999,72,31,110,196,22,47,59,22,155,0
5000,31,110,160,73,180,42,88,142,121,158
